sigma,price
0.150300,1024.987600
0.150200,1025.019445
0.150500,1024.918560
0.150600,1024.891790
0.150800,1024.824878
0.150900,1024.793963
0.151200,1024.687035
0.151000,1024.758704
0.151500,1024.590181
0.151300,1024.656494
0.151600,1024.559879
0.151700,1024.523797
0.152000,1024.422211
0.152100,1024.387268
0.152200,1024.350542
0.152300,1024.317932
0.152500,1024.265125
0.152600,1024.229725
0.152900,1024.127366
0.152800,1024.160335
0.153200,1024.038921
0.153300,1024.001793
0.153500,1023.932117
0.153600,1023.902598
0.153800,1023.833662
0.153700,1023.871472
0.154200,1023.695473
0.154100,1023.731169
0.154400,1023.618636
0.154500,1023.583533
0.154800,1023.490892
0.154600,1023.551450
0.155000,1023.423489
0.154900,1023.455958
0.155400,1023.304972
0.155300,1023.332264
0.155600,1023.240108
0.155500,1023.270013
0.156000,1023.107485
0.155800,1023.173774
0.156100,1023.076765
0.156200,1023.046069
0.156500,1022.944545
0.156600,1022.918049
0.156900,1022.821765
0.156800,1022.852420
0.157200,1022.723480
0.157100,1022.759545
0.157400,1022.647686
0.157500,1022.616167
0.157700,1022.560048
0.157800,1022.526136
0.158100,1022.430401
0.157900,1022.493513
0.158200,1022.400059
0.158400,1022.330952
0.158500,1022.306210
0.158700,1022.243109
0.158800,1022.211939
0.158900,1022.186065
0.159100,1022.122126
0.159200,1022.088416
0.159400,1022.029191
0.159600,1021.978545
0.159700,1021.944098
0.159800,1021.909281
0.160200,1021.779196
0.160100,1021.807406
0.160300,1021.742445
0.160400,1021.701423
0.160800,1021.577249
0.160700,1021.613604
0.161000,1021.515538
0.160900,1021.543845
0.161300,1021.417112
0.161400,1021.387583
0.161700,1021.285836
0.161500,1021.350896
0.161800,1021.252114
0.162000,1021.191672
0.162100,1021.158195
0.162200,1021.127511
0.162500,1021.026178
0.162600,1020.989689
0.162700,1020.955665
0.162900,1020.885022
0.163100,1020.824517
0.163000,1020.855207
0.163400,1020.726350
0.163300,1020.756412
0.163600,1020.663288
0.163800,1020.603948
0.163900,1020.575011
0.164000,1020.544855
0.164400,1020.412204
0.164200,1020.484412
0.164700,1020.308441
0.164600,1020.340730
0.164900,1020.250400
0.165000,1020.223766
0.165100,1020.193817
0.165300,1020.127147
0.165500,1020.069162
0.165400,1020.098060
0.165700,1020.012538
0.165900,1019.950721
0.166000,1019.915631
0.166100,1019.877486
0.166500,1019.757933
0.166300,1019.824565
0.166700,1019.697378
0.166600,1019.727232
0.167100,1019.566955
0.167000,1019.598122
0.167200,1019.536873
0.167400,1019.476521
0.167700,1019.371445
0.167500,1019.445727
0.167900,1019.304657
0.168000,1019.269411
0.168100,1019.232356
0.168300,1019.164725
0.168600,1019.076931
0.168400,1019.132153
0.168800,1019.011920
0.168900,1018.978749
0.169000,1018.946315
0.169100,1018.912539
0.169300,1018.855969
0.169400,1018.820901
0.169700,1018.723631
0.169800,1018.689462
0.170100,1018.597493
0.170000,1018.628214
0.170200,1018.569012
0.170300,1018.543450
0.170600,1018.462973
0.170500,1018.487267
0.171000,1018.334766
0.170800,1018.398490
0.171300,1018.241309
0.171100,1018.308156
0.171400,1018.212569
0.171500,1018.184452
0.171800,1018.090418
0.171700,1018.116443
0.172100,1018.004480
0.172200,1017.970912
0.172400,1017.916378
0.172500,1017.892847
0.172800,1017.798243
0.172700,1017.825624
0.173000,1017.737533
0.173100,1017.704143
0.173200,1017.665548
0.173300,1017.633599
0.173700,1017.503131
0.173500,1017.569715
0.173800,1017.476809
0.174000,1017.425294
0.174300,1017.345886
0.174200,1017.373313
0.174600,1017.252403
0.174400,1017.314007
0.174900,1017.157978
0.174800,1017.187717
0.175000,1017.126157
0.175100,1017.094046
0.175400,1017.004629
0.175500,1016.971857
0.175800,1016.898508
0.175700,1016.926181
0.175900,1016.872771
0.176100,1016.813989
0.176400,1016.718819
0.176300,1016.750056
0.176600,1016.652613
0.176500,1016.686146
0.176900,1016.562618
0.177000,1016.531700
0.177100,1016.505192
0.177200,1016.475020
0.177500,1016.378079
0.177600,1016.351665
0.177700,1016.326476
0.177900,1016.272566
0.178100,1016.211031
0.178000,1016.245502
0.178300,1016.154149
0.178400,1016.124196
0.178600,1016.059132
0.178700,1016.026166
0.179000,1015.944734
0.179100,1015.923832
0.179300,1015.869442
0.179400,1015.833264
0.179700,1015.735857
0.179500,1015.797664
0.179900,1015.685525
0.179800,1015.713524
0.180100,1015.628942
0.180200,1015.601737
0.180400,1015.543781
0.180600,1015.492909
0.180800,1015.431346
0.180700,1015.463941
0.181100,1015.339695
0.181200,1015.310022
0.181400,1015.263903
0.181500,1015.235407
0.181700,1015.184855
0.181800,1015.153775
0.181900,1015.122878
0.182000,1015.087812
0.182300,1015.009647
0.182200,1015.033114
0.182600,1014.927385
0.182500,1014.960081
0.183000,1014.815648
0.182900,1014.843575
0.183100,1014.782984
0.183200,1014.745257
0.183600,1014.631109
0.183400,1014.682819
0.183700,1014.599663
0.183800,1014.568517
0.184100,1014.487257
0.184200,1014.454337
0.184400,1014.396359
0.184500,1014.373134
0.184700,1014.318210
0.184800,1014.289615
0.185000,1014.234284
0.184900,1014.259503
0.185400,1014.121481
0.185200,1014.170176
0.185700,1014.018908
0.185600,1014.056146
0.185800,1013.996451
0.185900,1013.970521
0.186100,1013.922646
0.186200,1013.898930
0.186500,1013.801328
0.186400,1013.835844
0.186900,1013.706276
0.186700,1013.757440
0.187200,1013.625437
0.187100,1013.660895
0.187300,1013.600392
0.187400,1013.570864
0.187800,1013.471097
0.187700,1013.496707
0.188100,1013.393684
0.187900,1013.449381
0.188300,1013.350805
0.188200,1013.373143
0.188700,1013.239540
0.188500,1013.294897
0.189000,1013.162268
0.188900,1013.189513
0.189100,1013.126901
0.189200,1013.100806
0.189400,1013.048092
0.189600,1012.998061
0.189900,1012.916157
0.189800,1012.938814
0.190100,1012.862857
0.190200,1012.844685
0.190300,1012.821482
0.190500,1012.765097
0.190600,1012.735806
0.190800,1012.683196
0.191000,1012.629190
0.191100,1012.600992
0.191300,1012.547145
0.191200,1012.573686
0.191700,1012.438274
0.191500,1012.488611
0.191900,1012.381895
0.191800,1012.410130
0.192300,1012.274034
0.192100,1012.325637
0.192500,1012.222665
0.192400,1012.248670
0.192900,1012.118173
0.192700,1012.179735
0.193200,1012.033746
0.193100,1012.059949
0.193400,1011.988635
0.193300,1012.011069
0.193600,1011.940090
0.193800,1011.890389
0.194000,1011.830966
0.193900,1011.863346
0.194400,1011.728859
0.194300,1011.763914
0.194700,1011.642175
0.194600,1011.670155
0.194900,1011.594723
0.194800,1011.618077
0.195100,1011.539467
0.195300,1011.484631
0.195600,1011.406215
0.195500,1011.438210
0.195800,1011.355991
0.195900,1011.332364
0.196000,1011.298533
0.196200,1011.247848
0.196500,1011.163070
0.196400,1011.191909
0.196600,1011.134173
0.196700,1011.106204
0.197000,1011.019449
0.197100,1011.002534
0.197300,1010.953366
0.197200,1010.977666
0.197600,1010.876180
0.197500,1010.900895
0.197900,1010.797104
0.197800,1010.823457
0.198300,1010.693083
0.198200,1010.716833
0.198400,1010.670011
0.198500,1010.637523
0.198700,1010.582791
0.198900,1010.522315
0.199000,1010.496257
0.199100,1010.466913
0.199400,1010.388650
0.199500,1010.372450
0.199700,1010.315651
0.199600,1010.342886
0.200100,1010.213351
0.199900,1010.269320
0.200200,1010.186803
0.200300,1010.153341
0.200500,1010.110862
0.200700,1010.054021
0.201000,1009.976630
0.200900,1010.006287
0.201300,1009.891756
0.201100,1009.948255
0.201600,1009.825700
0.201400,1009.869752
0.201700,1009.803884
